"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Logged-in user E2E Scenarios","","0","6","12","0","0"
"","Guest user E2E Scenarios","","0","16","3","0","0"
