"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Logged-in user E2E Scenarios","","0","3","15","0","0"
"","Guest user E2E Scenarios","","1","4","14","0","0"
