"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Guest user E2E Scenarios","","0","2","14","0","0"
"","Logged-in user E2E Scenarios","","0","2","11","0","0"
