"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Cart page Scenarios","8","0","","0"
"0","","1","E2E - Marketplace Scenarios","4","0","","0"
"0","","0","E2E - Marketplace seller Scenarios","1","0","","0"
"1","","0","Product Landing Page Scenarios","6","0","","0"
"0","","0","Home Page Scenarios","1","0","","0"
"4","","0","E2E - Classes, Events & Project Scenarios","2","0","","0"
"1","","1","E2E - Signup & My Account Scenarios","5","0","","0"
"2","","0","E2E - Checkout Scenarios -SDD","3","0","","0"
"0","","0","Mega menu Scenarios","3","0","","0"
"1","","0","Global Scenarios - Headers","8","0","","0"
"0","","0","E2E - EventHub portal Scenarios","9","0","","0"
"0","","1","E2E - Checkout Scenarios -BOIPS","7","0","","0"
"0","","7","E2E - Checkout Scenarios -STM","3","0","","0"
"1","","0","MakerPlace - Mega menu Scenarios","0","0","","0"
"0","","0","Product Description Page Scenarios","2","0","","0"
"0","","0","Store Locator Scenarios","3","0","","0"
"0","","0","MAP - Admin Portal scenarios","1","0","","0"
