"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","P0 E2E Scenarios","","0","6","4","0","0"
"","Michaels Pro: E2E Scenarios for Guest and LoggedIn User","","0","4","0","0","0"
"","P1 E2E Scenarios","","0","13","10","0","0"
"","P0 P1 E2E Scenarios for both Guest and Logged In User","","0","1","0","0","0"
"","E2E Scenarios for Guest User on CheckOut","","0","2","1","0","0"
"","P2 E2E Scenarios for Logged In User for search results","","0","0","1","0","0"
"","User signup journey with email verification","","0","1","1","0","0"
"","Submit Review on PDP Page","","0","1","0","0","0"
